country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Mundka, Delhi - DPCC","12-09-2025 14:00:00",28.684678,77.076574,PM10,72,278,124
India,Delhi,Delhi,"Mundka, Delhi - DPCC","12-09-2025 14:00:00",28.684678,77.076574,SO2,7,10,8
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","12-09-2025 14:00:00",28.60909,77.0325413,NH3,6,9,7
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","12-09-2025 14:00:00",28.60909,77.0325413,CO,12,136,43
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","12-09-2025 14:00:00",28.60909,77.0325413,OZONE,10,302,126
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","12-09-2025 14:00:00",28.570173,76.933762,NO2,47,60,53
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","12-09-2025 14:00:00",28.570173,76.933762,NH3,1,2,1
India,Delhi,Delhi,"Narela, Delhi - DPCC","12-09-2025 14:00:00",28.822836,77.101981,PM2.5,22,96,45
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","12-09-2025 14:00:00",23.023389,72.515201,OZONE,1,44,16
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","12-09-2025 14:00:00",23.076793,72.627874,NO2,8,43,20
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","12-09-2025 14:00:00",23.076793,72.627874,OZONE,1,29,8
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","12-09-2025 14:00:00",21.613267,73.010555,NH3,5,7,5
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","12-09-2025 14:00:00",21.613267,73.010555,OZONE,51,77,56
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","12-09-2025 14:00:00",23.221714,72.654328,PM2.5,23,68,43
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","12-09-2025 14:00:00",28.563262,77.186937,PM10,58,115,93
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","12-09-2025 14:00:00",28.563262,77.186937,NO2,11,53,30
India,Delhi,Delhi,"Rohini, Delhi - DPCC","12-09-2025 14:00:00",28.732528,77.119920,PM2.5,27,80,43
India,Delhi,Delhi,"Rohini, Delhi - DPCC","12-09-2025 14:00:00",28.732528,77.119920,CO,7,20,17
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","12-09-2025 14:00:00",28.6514781,77.1473105,PM10,76,102,88
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","12-09-2025 14:00:00",28.6514781,77.1473105,SO2,5,15,12
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","12-09-2025 14:00:00",28.710508,77.249485,PM2.5,20,65,38
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","12-09-2025 14:00:00",28.710508,77.249485,NH3,6,9,7
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","12-09-2025 14:00:00",28.531346,77.190156,PM2.5,13,40,28
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","12-09-2025 14:00:00",28.531346,77.190156,PM10,55,96,67
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","12-09-2025 14:00:00",28.531346,77.190156,CO,18,46,26
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","12-09-2025 14:00:00",28.672342,77.315260,NO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","12-09-2025 14:00:00",23.107969,72.574648,NH3,5,14,8
