location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.16,"ppb","2025-09-01T23:15:00Z","2025-09-02T04:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.2,"ppb","2025-09-01T23:30:00Z","2025-09-02T05:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.24,"ppb","2025-09-01T23:45:00Z","2025-09-02T05:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.28,"ppb","2025-09-02T00:00:00Z","2025-09-02T05:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",11.93,"ppb","2025-09-01T01:15:00Z","2025-09-01T06:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",14.96,"ppb","2025-09-01T01:30:00Z","2025-09-01T07:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",13.06,"ppb","2025-09-01T01:45:00Z","2025-09-01T07:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",12.86,"ppb","2025-09-01T02:00:00Z","2025-09-01T07:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",15.39,"ppb","2025-09-01T02:15:00Z","2025-09-01T07:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",11.85,"ppb","2025-09-01T02:30:00Z","2025-09-01T08:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",9.84,"ppb","2025-09-01T02:45:00Z","2025-09-01T08:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",9.12,"ppb","2025-09-01T03:00:00Z","2025-09-01T08:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",15.45,"ppb","2025-09-01T03:15:00Z","2025-09-01T08:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",14.06,"ppb","2025-09-01T03:30:00Z","2025-09-01T09:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",18.8,"ppb","2025-09-01T04:00:00Z","2025-09-01T09:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",11.7,"ppb","2025-09-01T05:00:00Z","2025-09-01T10:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",13.63,"ppb","2025-09-01T05:15:00Z","2025-09-01T10:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",24.2,"ppb","2025-09-01T05:30:00Z","2025-09-01T11:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",15.2,"ppb","2025-09-01T05:45:00Z","2025-09-01T11:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",15.64,"ppb","2025-09-01T06:00:00Z","2025-09-01T11:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",19.5,"ppb","2025-09-01T06:15:00Z","2025-09-01T11:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",12.33,"ppb","2025-09-01T06:30:00Z","2025-09-01T12:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",16.19,"ppb","2025-09-01T06:45:00Z","2025-09-01T12:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",16.86,"ppb","2025-09-01T07:15:00Z","2025-09-01T12:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",17.01,"ppb","2025-09-01T07:30:00Z","2025-09-01T13:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",14.18,"ppb","2025-09-01T07:45:00Z","2025-09-01T13:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",13.74,"ppb","2025-09-01T08:00:00Z","2025-09-01T13:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",14.5,"ppb","2025-09-01T08:15:00Z","2025-09-01T13:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",16.62,"ppb","2025-09-01T08:30:00Z","2025-09-01T14:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",14.12,"ppb","2025-09-01T08:45:00Z","2025-09-01T14:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",13.23,"ppb","2025-09-01T09:00:00Z","2025-09-01T14:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",10.93,"ppb","2025-09-01T09:15:00Z","2025-09-01T14:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",12.04,"ppb","2025-09-01T09:30:00Z","2025-09-01T15:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",12.24,"ppb","2025-09-01T09:45:00Z","2025-09-01T15:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",14.98,"ppb","2025-09-01T10:00:00Z","2025-09-01T15:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",9.86,"ppb","2025-09-01T10:15:00Z","2025-09-01T15:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",14.14,"ppb","2025-09-01T10:30:00Z","2025-09-01T16:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",15.43,"ppb","2025-09-01T11:00:00Z","2025-09-01T16:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",13.31,"ppb","2025-09-01T11:15:00Z","2025-09-01T16:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",36.05,"ppb","2025-09-01T13:15:00Z","2025-09-01T18:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",36.33,"ppb","2025-09-01T13:30:00Z","2025-09-01T19:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",22.66,"ppb","2025-09-01T13:45:00Z","2025-09-01T19:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",24.44,"ppb","2025-09-01T14:00:00Z","2025-09-01T19:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",40.46,"ppb","2025-09-01T14:15:00Z","2025-09-01T19:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",20.02,"ppb","2025-09-01T14:30:00Z","2025-09-01T20:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",17.72,"ppb","2025-09-01T14:45:00Z","2025-09-01T20:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",13.18,"ppb","2025-09-01T15:00:00Z","2025-09-01T20:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",16.03,"ppb","2025-09-01T15:15:00Z","2025-09-01T20:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",10.09,"ppb","2025-09-01T15:30:00Z","2025-09-01T21:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",8.28,"ppb","2025-09-01T15:45:00Z","2025-09-01T21:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",7,"ppb","2025-09-01T16:00:00Z","2025-09-01T21:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",10.07,"ppb","2025-09-01T16:15:00Z","2025-09-01T21:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","no",10.31,"ppb","2025-09-01T16:30:00Z","2025-09-01T22:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
